date_new,well_ft
2007-11-02-18,1.752
2007-11-02-19,1.742
2007-11-02-20,1.742
2007-11-02-21,1.742
2007-11-02-22,1.732
2007-11-02-23,1.732
2007-11-03-00,1.732
2007-11-03-01,1.722
2007-11-03-02,1.722
2007-11-03-03,1.722
2007-11-03-04,1.722
2007-11-03-05,1.722
2007-11-03-06,1.722
2007-11-03-07,1.722
2007-11-03-08,1.722
2007-11-03-09,1.712
2007-11-03-10,1.712
2007-11-03-11,1.712
2007-11-03-12,1.712
2007-11-03-13,1.712
2007-11-03-14,1.712
2007-11-03-15,1.712
2007-11-03-16,1.702
2007-11-03-17,1.702
2007-11-03-18,1.702
2007-11-03-19,1.702
2007-11-03-20,1.702
2007-11-03-21,1.702
2007-11-03-22,1.702
2007-11-03-23,1.692
2007-11-04-00,1.692
2007-11-04-01,1.692
2007-11-04-02,1.692
2007-11-04-03,1.682
2007-11-04-04,1.682
2007-11-04-05,1.682
2007-11-04-06,1.682
2007-11-04-07,1.682
2007-11-04-08,1.682
2007-11-04-09,1.682
2007-11-04-10,1.672
2007-11-04-11,1.672
2007-11-04-12,1.672
2007-11-04-13,1.672
2007-11-04-14,1.672
2007-11-04-15,1.662
2007-11-04-16,1.662
2007-11-04-17,1.662
2007-11-04-18,1.662
2007-11-04-19,1.662
2007-11-04-20,1.662
2007-11-04-21,1.652
2007-11-04-22,1.652
2007-11-04-23,1.652
2007-11-05-00,1.642
2007-11-05-01,1.642
2007-11-05-02,1.642
2007-11-05-03,1.632
2007-11-05-04,1.622
2007-11-05-05,1.622
2007-11-05-06,1.622
2007-11-05-07,1.622
2007-11-05-08,1.622
2007-11-05-09,1.612
2007-11-05-10,1.612
2007-11-05-11,1.612
2007-11-05-12,1.602
2007-11-05-13,1.602
2007-11-05-14,1.592
2007-11-05-15,1.592
2007-11-05-16,1.592
2007-11-05-17,1.592
2007-11-05-18,1.592
2007-11-05-19,1.582
2007-11-05-20,1.582
2007-11-05-21,1.582
2007-11-05-22,1.582
2007-11-05-23,1.582
2007-11-06-00,1.572
2007-11-06-01,1.572
2007-11-06-02,1.562
2007-11-06-03,1.562
2007-11-06-04,1.562
2007-11-06-05,1.562
2007-11-06-06,1.562
2007-11-06-07,1.562
2007-11-06-08,1.562
2007-11-06-09,1.552
2007-11-06-10,1.552
2007-11-06-11,1.552
2007-11-06-12,1.542
2007-11-06-13,1.542
2007-11-06-14,1.542
2007-11-06-15,1.542
2007-11-06-16,1.542
2007-11-06-17,1.542
2007-11-06-18,1.542
2007-11-06-19,1.542
2007-11-06-20,1.532
2007-11-06-21,1.532
2007-11-06-22,1.532
2007-11-06-23,1.522
2007-11-07-00,1.522
2007-11-07-01,1.522
2007-11-07-02,1.512
2007-11-07-03,1.512
2007-11-07-04,1.512
2007-11-07-05,1.512
2007-11-07-06,1.512
2007-11-07-07,1.512
2007-11-07-08,1.512
2007-11-07-09,1.512
2007-11-07-10,1.502
2007-11-07-11,1.502
2007-11-07-12,1.502
2007-11-07-13,1.502
2007-11-07-14,1.502
2007-11-07-15,1.502
2007-11-07-16,1.492
2007-11-07-17,1.492
2007-11-07-18,1.482
